network_id,network_name,station_number,station_name,lat,lon,epic_dist_km,fault_dist_km,pga_g,pgv_cms,pgd_cm,sa_0p3_g,sa_1p0_g,sa_3p0_g,struct_apk_g,label_damage_state
CE,SCSN,15120,Notre Dame Cathedral Paris Heritage Site,26.94694,18.9415,39.9,,0.238,6.1,0.5,0.33,0.045,0.002,,Moderate
CI,CGS,15121,Eiffel Tower Paris Heritage Site,35.64984,83.29398,8.6,,0.167,9.66,0.4,0.2,0.051,0.004,,Moderate
CI,IGPP,15122,Teotihuacan Mexico Heritage Site,23.52935,-60.39354,19.1,,0.226,5.79,0.3,0.187,0.024,0.007,,Moderate
CE,SCSN,15123,Qutub Minar Heritage Site,14.75156,-30.826,21.4,,0.168,8.02,0.7,0.296,0.027,0.005,,Moderate
CI,IGPP,15124,Luxor Temple Egypt Heritage Site,12.86871,32.42375,34.1,,0.188,8.1,0.7,0.359,0.022,0.004,,Moderate
NP,CGS,15125,Mahabalipuram Shore Temple Heritage Site,22.35448,-107.98118,48.1,,0.189,9.37,0.4,0.163,0.027,0.003,,Moderate
CE,CGS,15126,Eiffel Tower Paris Heritage Site,36.7593,-119.89524,15,,0.246,6.17,0.8,0.289,0.057,0.002,,Moderate
CE,NSMP,15127,St. Basil's Cathedral Moscow Heritage Site,36.98302,47.35137,48.2,,0.201,5.28,0.5,0.172,0.03,0.004,,Moderate
CI,CGS,15128,Sun Temple Modhera Heritage Site,12.83933,63.24675,27.9,,0.212,7.44,0.7,0.158,0.063,0.006,,Moderate
NP,IGPP,15129,Sigiriya Sri Lanka Heritage Site,16.72679,10.43488,23,,0.225,10,0.4,0.386,0.055,0.004,,Moderate
NP,SCSN,15130,Tikal Guatemala Heritage Site,33.99697,40.64206,6.3,,0.175,6.41,0.5,0.253,0.035,0.007,,Moderate
AZ,CGS,15131,Canterbury Cathedral UK Heritage Site,30.95417,67.36941,24.5,,0.214,7.44,0.5,0.163,0.041,0.004,,Moderate
NP,SCSN,15132,Khajuraho Temples Heritage Site,38.15158,-43.41953,29.4,,0.224,6.76,0.6,0.341,0.042,0.006,,Moderate
CI,NSMP,15133,Tower of London UK Heritage Site,33.08885,-97.88235,20.5,,0.25,5.84,0.5,0.188,0.068,0.003,,Moderate
NP,SCSN,15134,Golden Temple Amritsar Heritage Site,14.89582,-98.76209,49.2,,0.162,6.74,0.4,0.264,0.026,0.006,,Moderate
CE,CGS,15135,Jaisalmer Fort Heritage Site,10.92176,-55.81394,7,,0.16,6.91,0.5,0.236,0.053,0.006,,Moderate
CI,CGS,15136,Sanchi Stupa Heritage Site,32.78626,-102.26498,37.1,,0.17,7.09,0.8,0.328,0.034,0.003,,Moderate
NP,CGS,15137,Sigiriya Sri Lanka Heritage Site,26.22515,53.20361,8.4,,0.197,5.87,0.5,0.195,0.067,0.005,,Moderate
AZ,NSMP,15138,Khajuraho Temples Heritage Site,17.13362,-74.7676,57.3,,0.195,8.86,0.8,0.269,0.023,0.002,,Moderate
AZ,NSMP,15139,Acropolis Athens Heritage Site,21.65568,-113.02983,40.9,,0.21,9.69,0.3,0.153,0.039,0.007,,Moderate
CE,SCSN,15140,Tikal Guatemala Heritage Site,25.0776,-83.69215,38.5,,0.168,9.7,0.4,0.271,0.055,0.005,,Moderate
CE,NSMP,15141,Mont Saint-Michel France Heritage Site,15.37978,-16.44921,47,,0.156,7.32,0.3,0.283,0.049,0.007,,Moderate
AZ,IGPP,15142,Edinburgh Castle Heritage Site,17.25139,-24.69015,26.2,,0.227,8.84,0.7,0.258,0.03,0.004,,Moderate
CE,IGPP,15143,Hampi Virupaksha Temple Heritage Site,38.43484,98.98492,9.3,,0.174,8.45,0.6,0.36,0.026,0.002,,Moderate
NP,IGPP,15144,Red Fort Delhi Heritage Site,37.4959,-102.31821,30.4,,0.229,8.31,0.6,0.176,0.054,0.006,,Moderate
AZ,IGPP,15145,Chichen Itza Mexico Heritage Site,35.47386,-80.78032,26.7,,0.177,8.22,0.8,0.23,0.044,0.007,,Moderate
NP,NSMP,15146,Nalanda University Heritage Site,18.10213,-63.37006,23.1,,0.181,5.53,0.4,0.202,0.039,0.007,,Moderate
CE,NSMP,15147,Luxor Temple Egypt Heritage Site,15.37366,-41.18959,15.4,,0.244,5.88,0.4,0.214,0.063,0.007,,Moderate
NP,CGS,15148,Sun Temple Modhera Heritage Site,32.43278,-112.04845,5.5,,0.245,6.93,0.4,0.169,0.033,0.007,,Moderate
CI,IGPP,15149,Borobudur Indonesia Heritage Site,28.53083,78.41741,28.9,,0.179,6.05,0.6,0.358,0.069,0.004,,Moderate
CI,CGS,15150,Petra Jordan Heritage Site,11.11511,25.76559,12,,0.155,9.56,0.5,0.201,0.065,0.005,,Moderate
NP,SCSN,15151,Brihadeeswarar Temple Heritage Site,13.30528,88.79461,38,,0.363,16.39,0.9,0.572,0.058,0.005,,High
CE,NSMP,15152,Leaning Tower of Pisa Heritage Site,18.07987,89.14697,57.9,,0.382,19.86,1.3,0.278,0.076,0.01,,High
AZ,SCSN,15153,Charminar Heritage Site,33.93782,-84.37895,33.7,,0.262,12.06,0.9,0.573,0.074,0.006,,High
CE,SCSN,15154,Moai Statues Easter Island Heritage Site,15.12414,-111.21947,53.7,,0.33,11.75,0.5,0.408,0.06,0.005,,High
CI,IGPP,15155,Tikal Guatemala Heritage Site,15.88072,35.4681,52.2,,0.359,14.22,0.8,0.358,0.077,0.006,,High
CE,NSMP,15156,Khajuraho Temples Heritage Site,11.25012,-61.77386,16.2,,0.324,10.53,0.7,0.52,0.067,0.01,,High
AZ,CGS,15157,Hagia Sophia Turkey Heritage Site,30.50273,61.90431,22.2,,0.318,12.73,0.8,0.267,0.076,0.005,,High
CI,IGPP,15158,Khajuraho Temples Heritage Site,25.63172,47.28994,50.5,,0.393,12.84,0.7,0.315,0.059,0.004,,High
CI,IGPP,15159,Petra Jordan Heritage Site,14.7498,72.52582,54.6,,0.259,12.49,0.7,0.415,0.049,0.003,,High
CI,SCSN,15160,Bagan Myanmar Heritage Site,33.64931,36.38189,46,,0.252,10.02,0.6,0.332,0.059,0.007,,High
NP,SCSN,15161,Golden Temple Amritsar Heritage Site,38.96254,-48.53388,58.3,,0.267,13.09,0.9,0.443,0.07,0.008,,High
CE,NSMP,15162,Versailles Palace France Heritage Site,33.70532,-20.56892,14.8,,0.365,17.88,0.6,0.407,0.041,0.004,,High
CI,IGPP,15163,Mount Kailash Heritage Site,22.39193,41.74114,38,,0.308,10.87,0.9,0.371,0.053,0.008,,High
CE,NSMP,15164,Alhambra Spain Heritage Site,10.92881,-3.88601,5.6,,0.288,16.08,0.5,0.457,0.062,0.008,,High
CI,IGPP,15165,Sanchi Stupa Heritage Site,28.72087,99.60637,7,,0.354,18.95,0.9,0.35,0.055,0.007,,High
CI,NSMP,15166,Karnak Temple Egypt Heritage Site,17.64145,10.58183,35.3,,0.342,10.04,0.8,0.541,0.048,0.008,,High
AZ,SCSN,15167,Fatehpur Sikri Heritage Site,30.71105,6.01425,9.4,,0.435,15.85,1.2,0.25,0.074,0.006,,High
NP,NSMP,15168,Sun Temple Modhera Heritage Site,32.33006,-82.36037,37.7,,0.432,16.89,0.6,0.593,0.072,0.009,,High
CI,IGPP,15169,Great Wall China Heritage Site,34.34398,5.05221,44.4,,0.337,17.03,0.9,0.463,0.062,0.005,,High
AZ,IGPP,15170,Machu Picchu Peru Heritage Site,14.0498,49.31322,54,,0.292,10.69,0.9,0.542,0.072,0.007,,High
AZ,SCSN,15171,Taj Mahal Heritage Site,22.42706,-52.14013,40.4,,0.265,13.33,0.7,0.553,0.043,0.008,,High
CI,IGPP,15172,Golden Temple Amritsar Heritage Site,17.67489,55.39368,36.6,,0.363,15.39,1.1,0.503,0.049,0.005,,High
NP,NSMP,15173,Brihadeeswarar Temple Heritage Site,25.85276,99.91952,54.4,,0.361,17.13,1.5,0.552,0.08,0.004,,High
NP,CGS,15174,Tower of London UK Heritage Site,35.32767,-54.8604,31.5,,0.32,10.4,1.2,0.289,0.077,0.006,,High
AZ,IGPP,15175,Moai Statues Easter Island Heritage Site,11.20707,31.10738,35,,0.315,11.09,1.5,0.443,0.076,0.008,,High
NP,CGS,15176,Charminar Heritage Site,15.66801,3.12747,53.2,,0.317,18.52,1,0.334,0.053,0.007,,High
CI,CGS,15177,St. Basil's Cathedral Moscow Heritage Site,35.15964,22.16235,28.2,,0.363,17.09,0.9,0.424,0.059,0.007,,High
AZ,IGPP,15178,Luxor Temple Egypt Heritage Site,32.51838,81.54473,20.5,,0.299,12.4,1.4,0.523,0.073,0.004,,High
CE,NSMP,15179,Mount Kailash Heritage Site,31.40703,-18.66027,41.9,,0.415,11.5,0.8,0.462,0.078,0.009,,High
AZ,IGPP,15180,Bagan Myanmar Heritage Site,16.88889,66.47434,51.9,,0.438,12.24,0.6,0.548,0.058,0.008,,High
AZ,IGPP,15181,Red Fort Delhi Heritage Site,21.73264,49.04926,8.4,,0.393,19.55,1.3,0.303,0.053,0.01,,High
AZ,IGPP,15182,Colosseum Rome Heritage Site,36.71271,72.36495,28.5,,0.389,14.22,1.1,0.586,0.058,0.004,,High
CI,NSMP,15183,Red Fort Delhi Heritage Site,34.63696,-76.6888,14.9,,0.372,15.1,1.4,0.549,0.055,0.009,,High
CE,IGPP,15184,Charminar Heritage Site,31.96292,76.92947,20,,0.386,18.51,0.6,0.453,0.042,0.009,,High
CE,SCSN,15185,Taj Mahal Heritage Site,12.85534,66.60248,42.7,,0.336,17.21,0.9,0.305,0.063,0.006,,High
NP,CGS,15186,Borobudur Indonesia Heritage Site,36.95656,38.82578,6,,0.351,19.2,0.9,0.522,0.069,0.006,,High
CI,NSMP,15187,Mount Fuji Japan Heritage Site,17.84143,40.01635,15.3,,0.377,13.93,1.1,0.411,0.065,0.01,,High
NP,SCSN,15188,Notre Dame Cathedral Paris Heritage Site,37.70848,-67.7949,5.6,,0.442,11.31,1.2,0.336,0.053,0.006,,High
NP,IGPP,15189,Notre Dame Cathedral Paris Heritage Site,32.44123,88.74233,19.9,,0.393,18.76,0.8,0.422,0.04,0.009,,High
CE,CGS,15190,Neuschwanstein Castle Germany Heritage Site,31.73138,-68.80622,59,,0.335,10.04,0.6,0.495,0.068,0.007,,High
CI,SCSN,15191,Ellora Kailasa Temple Heritage Site,16.21605,-93.76265,51,,0.272,13.98,1.4,0.37,0.053,0.009,,High
AZ,NSMP,15192,Pyramids of Giza Egypt Heritage Site,25.65168,-67.33559,55.9,,0.286,12.36,1.3,0.412,0.066,0.004,,High
CI,CGS,15193,Sanchi Stupa Heritage Site,31.17165,-89.67329,28.9,,0.255,11.5,1,0.483,0.072,0.008,,High
NP,NSMP,15194,Nalanda University Heritage Site,22.59107,-89.97218,35.1,,0.424,13.82,0.9,0.478,0.045,0.005,,High
CE,SCSN,15195,Moai Statues Easter Island Heritage Site,30.5391,2.92415,55.3,,0.389,19.69,0.5,0.502,0.063,0.004,,High
CE,NSMP,15196,St. Basil's Cathedral Moscow Heritage Site,20.42651,-115.30145,47.5,,0.387,14.91,0.8,0.522,0.058,0.006,,High
CE,NSMP,15197,Ellora Kailasa Temple Heritage Site,11.21781,91.72931,48.7,,0.296,15.04,1.3,0.474,0.049,0.005,,High
CE,NSMP,15198,Mount Fuji Japan Heritage Site,16.09032,-41.27511,43,,0.441,17.85,1.2,0.415,0.08,0.003,,High
CI,SCSN,15199,Nalanda University Heritage Site,27.0013,47.47298,31.7,,0.4,12.79,1.1,0.576,0.044,0.005,,High
CE,IGPP,15200,Red Fort Delhi Heritage Site,31.91588,-99.31764,59.6,,0.287,18.08,1.4,0.32,0.06,0.004,,High
CE,IGPP,17001,Prambanan Indonesia Heritage Site,29.89853,-114.41991,21.5,,0.018,1.92,0.3,0.104,0.002,0.003,,None
CE,SCSN,17002,Forbidden City Beijing Heritage Site,28.72127,42.71014,59.1,,0.018,1.03,0.3,0.109,0.017,0.001,,None
NP,NSMP,17003,Great Wall China Heritage Site,12.42395,-95.40277,7.6,,0.02,1.48,0.2,0.055,0.024,0.001,,None
AZ,NSMP,17004,Pyramids of Giza Egypt Heritage Site,13.28219,53.80135,52.3,,0.019,1.9,0.3,0.039,0.022,0.002,,None
NP,SCSN,17005,Sigiriya Sri Lanka Heritage Site,18.9301,-67.94672,39.8,,0.04,1.16,0.3,0.14,0.026,0,,None
CE,SCSN,17006,Qutub Minar Heritage Site,30.12391,-26.03525,14.9,,0.037,1.85,0.3,0.069,0.029,0.001,,None
CI,NSMP,17007,Abu Simbel Egypt Heritage Site,30.56171,-2.13327,40,,0.03,0.6,0.3,0.062,0.023,0.002,,None
AZ,CGS,17008,Borobudur Indonesia Heritage Site,26.27188,53.7366,28.6,,0.016,1.79,0.2,0.062,0.002,0,,None
NP,SCSN,17009,Hagia Sophia Turkey Heritage Site,20.58204,14.71943,34.4,,0.02,1.38,0.4,0.016,0.017,0.002,,None
NP,CGS,17010,Edinburgh Castle Heritage Site,37.11907,-116.84545,30.2,,0.046,1.68,0.2,0.086,0,0,,None
NP,SCSN,17011,Hagia Sophia Turkey Heritage Site,24.97001,-85.366,28.1,,0.021,1.65,0.1,0,0.024,0.003,,None
NP,IGPP,17012,Teotihuacan Mexico Heritage Site,26.91715,13.57718,51.2,,0.021,1.74,0.1,0.13,0.011,0.003,,None
CE,CGS,17013,Leaning Tower of Pisa Heritage Site,26.92882,-12.29114,35.3,,0.025,1.38,0.4,0.1,0.005,0.001,,None
NP,SCSN,17014,Forbidden City Beijing Heritage Site,17.79687,65.84373,46.6,,0.03,1.27,0.1,0.12,0.02,0.002,,None
AZ,SCSN,17015,Mount Fuji Japan Heritage Site,22.8824,55.25184,9.5,,0.045,1.54,0.3,0.046,0.005,0.001,,None
AZ,IGPP,17016,Charminar Heritage Site,13.31446,-19.34849,34.2,,0.015,1.42,0.2,0.07,0.016,0,,None
NP,NSMP,17017,Sun Temple Modhera Heritage Site,29.75417,-57.82549,47.9,,0.034,1.84,0.2,0.105,0.012,0.001,,None
NP,IGPP,17018,Shwedagon Pagoda Myanmar Heritage Site,35.12648,-59.88968,35.8,,0.027,0.52,0.3,0.005,0.027,0.001,,None
AZ,CGS,17019,Angkor Wat Cambodia Heritage Site,16.71556,-24.96992,46.8,,0.045,0.63,0.3,0.094,0.003,0.003,,None
CI,CGS,17020,Acropolis Athens Heritage Site,28.58429,99.34125,54.2,,0.019,0.73,0.4,0.01,0.028,0.003,,None
CI,NSMP,17021,Pyramids of Giza Egypt Heritage Site,32.41445,57.51677,27.3,,0.044,1.15,0.1,0.025,0.007,0.001,,None
CE,NSMP,17022,Teotihuacan Mexico Heritage Site,16.17527,-15.32534,23.2,,0.026,1.02,0.3,0.14,0.016,0.004,,None
NP,IGPP,17023,St. Basil's Cathedral Moscow Heritage Site,24.35534,-101.1088,31.4,,0.033,0.52,0.1,0.14,0,0.002,,None
AZ,CGS,17024,Bagan Myanmar Heritage Site,35.65125,-64.95567,21.4,,0.03,0.77,0.3,0.029,0.011,0.001,,None
NP,SCSN,17025,Acropolis Athens Heritage Site,19.33143,-19.62364,49.8,,0.033,0.66,0.2,0.075,0,0.003,,None
AZ,IGPP,17026,Prambanan Indonesia Heritage Site,14.66298,79.55739,10.2,,0.033,0.89,0.4,0.019,0.009,0.001,,None
AZ,SCSN,17027,Angkor Wat Cambodia Heritage Site,32.07131,4.71307,21.4,,0.038,1.22,0.4,0.041,0.013,0.002,,None
NP,SCSN,17028,Notre Dame Cathedral Paris Heritage Site,24.85201,-97.05057,38.5,,0.03,1.83,0.4,0.035,0.023,0.003,,None
CI,NSMP,17029,Brihadeeswarar Temple Heritage Site,23.82782,96.55375,45.7,,0.028,0.72,0.3,0.059,0.013,0.001,,None
CI,IGPP,17030,Moai Statues Easter Island Heritage Site,21.27893,44.85018,26.9,,0.042,1.98,0.2,0.037,0.002,0.001,,None
NP,IGPP,17031,Prambanan Indonesia Heritage Site,10.75385,43.15496,17.4,,0.03,1.38,0.2,0.098,0.02,0.001,,None
CI,SCSN,17032,Shwedagon Pagoda Myanmar Heritage Site,37.76101,86.21268,42.7,,0.03,1.63,0.3,0.068,0.018,0.002,,None
CE,SCSN,17033,Abu Simbel Egypt Heritage Site,15.80519,-11.50969,34.5,,0.033,0.64,0.4,0.047,0.015,0.001,,None
CI,SCSN,17034,Mont Saint-Michel France Heritage Site,23.77933,-84.44665,26.7,,0.032,0.87,0.2,0.094,0.003,0.001,,None
CI,IGPP,17035,Borobudur Indonesia Heritage Site,30.20534,45.47138,25.1,,0.021,1.62,0.2,0.103,0.022,0.001,,None
AZ,CGS,17036,Abu Simbel Egypt Heritage Site,24.73626,39.50621,36.6,,0.03,1.2,0.1,0.116,0.005,0.002,,None
CE,CGS,17037,Hagia Sophia Turkey Heritage Site,24.84585,94.66564,23.8,,0.016,0.95,0.4,0.108,0.006,0.001,,None
CI,NSMP,17038,Sun Temple Modhera Heritage Site,21.95255,-82.68402,49,,0.032,1.01,0.3,0.139,0.015,0.004,,None
AZ,CGS,17039,Great Wall China Heritage Site,14.65447,-89.6226,5.6,,0.022,0.53,0.3,0.003,0.004,0.002,,None
CI,CGS,17040,Abu Simbel Egypt Heritage Site,27.70215,-114.25527,52.4,,0.035,0.92,0.3,0.102,0.001,0.002,,None
AZ,NSMP,17041,Temple of Artemis Turkey Heritage Site,35.44746,84.50052,28.3,,0.04,1.98,0.1,0.107,0.002,0.003,,None
CI,IGPP,17042,Edinburgh Castle Heritage Site,23.67184,-32.28478,14.8,,0.013,0.52,0.2,0.134,0.007,0.001,,None
AZ,IGPP,17043,Leaning Tower of Pisa Heritage Site,37.23236,-113.77443,26.3,,0.014,0.82,0.4,0.076,0.014,0.002,,None
AZ,NSMP,17044,Mahabalipuram Shore Temple Heritage Site,27.86358,-84.83264,10.6,,0.033,1.75,0.2,0.088,0.03,0.003,,None
NP,CGS,17045,Edinburgh Castle Heritage Site,29.4446,66.93773,34,,0.023,1.1,0.2,0.058,0.001,0.003,,None
CI,IGPP,17046,Great Zimbabwe Ruins Heritage Site,33.9965,-17.69483,18.5,,0.028,1.78,0.1,0.047,0.028,0.001,,None
CE,NSMP,17047,Mount Kailash Heritage Site,15.44097,64.56248,29.7,,0.025,1.05,0.4,0.007,0.028,0.001,,None
CI,CGS,17048,Prambanan Indonesia Heritage Site,15.05203,23.25546,21.6,,0.012,1.85,0.1,0.143,0.013,0.002,,None
CI,IGPP,17049,Hagia Sophia Turkey Heritage Site,11.29686,-103.577,35.9,,0.044,1.64,0.3,0.021,0.019,0.003,,None
NP,CGS,17050,Hampi Virupaksha Temple Heritage Site,29.23285,-43.02523,28.9,,0.044,0.75,0.3,0.012,0.02,0.003,,None
AZ,SCSN,17051,Stonehenge UK Heritage Site,39.91069,-115.88903,59.4,,0.101,4.59,0.4,0.217,0.015,0.002,,Slight
CE,CGS,17052,Ajanta Caves Heritage Site,38.94802,-43.75525,10.8,,0.109,3.44,0.3,0.239,0.037,0.005,,Slight
AZ,NSMP,17053,Temple of Artemis Turkey Heritage Site,36.90516,-67.58986,23.8,,0.132,3.55,0.2,0.188,0.016,0.004,,Slight
AZ,SCSN,17054,Khajuraho Temples Heritage Site,32.66788,56.21774,45,,0.099,2.29,0.6,0.179,0.011,0.005,,Slight
AZ,SCSN,17055,Teotihuacan Mexico Heritage Site,38.82844,-17.65822,25.1,,0.131,3.31,0.4,0.186,0.042,0.001,,Slight
CE,NSMP,17056,Machu Picchu Peru Heritage Site,10.33738,-93.86871,11.8,,0.112,2.18,0.5,0.209,0.018,0.004,,Slight
NP,IGPP,17057,Tikal Guatemala Heritage Site,21.01694,35.72839,26,,0.08,3.33,0.2,0.205,0.04,0.003,,Slight
AZ,IGPP,17058,Somnath Temple Heritage Site,29.16319,-93.70735,14.6,,0.065,2.53,0.3,0.11,0.027,0.001,,Slight
NP,IGPP,17059,Shwedagon Pagoda Myanmar Heritage Site,30.00345,3.1191,11.1,,0.051,2.51,0.3,0.235,0.049,0.005,,Slight
AZ,IGPP,17060,Hagia Sophia Turkey Heritage Site,22.77108,99.88326,17.9,,0.084,3.39,0.3,0.173,0.011,0.006,,Slight
CE,CGS,17061,Ellora Kailasa Temple Heritage Site,18.87848,-85.28213,30.1,,0.132,4.31,0.3,0.084,0.038,0.003,,Slight
NP,CGS,17062,Meenakshi Temple Heritage Site,19.35631,47.05741,51.2,,0.141,4.39,0.2,0.128,0.041,0.005,,Slight
CI,SCSN,17063,Sun Temple Modhera Heritage Site,28.87939,36.32482,22.6,,0.103,4.53,0.5,0.145,0.013,0.004,,Slight
CE,SCSN,17064,Versailles Palace France Heritage Site,35.30762,14.46637,29.7,,0.11,3.56,0.3,0.196,0.028,0.004,,Slight
NP,IGPP,17065,Shwedagon Pagoda Myanmar Heritage Site,33.55333,35.17708,30,,0.135,3.04,0.4,0.084,0.027,0.006,,Slight
NP,IGPP,17066,Neuschwanstein Castle Germany Heritage Site,11.32435,-108.25479,55.1,,0.142,4.81,0.6,0.249,0.035,0.003,,Slight
CE,SCSN,17067,Nalanda University Heritage Site,25.69376,-26.69698,20.6,,0.115,2.41,0.4,0.113,0.021,0.005,,Slight
AZ,IGPP,17068,Alhambra Spain Heritage Site,17.12636,52.77641,24.8,,0.081,2.57,0.3,0.102,0.01,0.005,,Slight
NP,NSMP,17069,Prambanan Indonesia Heritage Site,25.03688,-26.69497,28.1,,0.11,3.09,0.2,0.243,0.03,0.003,,Slight
CE,SCSN,17070,Golconda Fort Heritage Site,21.90768,-76.87092,44,,0.112,4.4,0.6,0.245,0.018,0.006,,Slight
CE,IGPP,17071,Abu Simbel Egypt Heritage Site,10.25812,-11.47678,30,,0.099,2.04,0.4,0.126,0.044,0.005,,Slight
NP,IGPP,17072,Brihadeeswarar Temple Heritage Site,12.73852,45.49404,35.4,,0.091,2.49,0.4,0.216,0.012,0.003,,Slight
AZ,NSMP,17073,Eiffel Tower Paris Heritage Site,19.41389,13.96815,36.9,,0.069,4.49,0.5,0.159,0.021,0.001,,Slight
CI,NSMP,17074,Edinburgh Castle Heritage Site,34.34764,-27.54071,51.8,,0.073,2.3,0.3,0.189,0.048,0.003,,Slight
CE,CGS,17075,Luxor Temple Egypt Heritage Site,29.95294,46.27038,27.9,,0.12,2.6,0.5,0.108,0.024,0.005,,Slight
CE,NSMP,17076,Golconda Fort Heritage Site,36.24419,18.10457,7.1,,0.096,2.28,0.4,0.149,0.039,0.005,,Slight
CI,IGPP,17077,Teotihuacan Mexico Heritage Site,36.79935,74.79631,21.2,,0.096,2.13,0.5,0.247,0.017,0.003,,Slight
AZ,SCSN,17078,Petra Jordan Heritage Site,15.22644,78.12623,29,,0.056,3.7,0.2,0.092,0.044,0.002,,Slight
CE,SCSN,17079,Tower of London UK Heritage Site,36.32671,-40.34535,35.3,,0.128,4.72,0.5,0.22,0.045,0.003,,Slight
CE,IGPP,17080,Borobudur Indonesia Heritage Site,22.95439,69.8359,37.8,,0.136,3.58,0.3,0.138,0.022,0.002,,Slight
CE,NSMP,17081,Sigiriya Sri Lanka Heritage Site,29.49007,-42.08882,7.6,,0.053,3.52,0.6,0.086,0.012,0.006,,Slight
CE,CGS,17082,Karnak Temple Egypt Heritage Site,10.87578,61.54866,21.5,,0.144,3.75,0.5,0.226,0.027,0.005,,Slight
NP,SCSN,17083,Great Wall China Heritage Site,35.00824,-107.30092,21.1,,0.08,2.04,0.6,0.245,0.045,0.002,,Slight
CI,IGPP,17084,Kyoto Temples Japan Heritage Site,31.09593,71.15449,13.6,,0.12,2.84,0.5,0.246,0.033,0.004,,Slight
CE,IGPP,17085,St. Basil's Cathedral Moscow Heritage Site,35.99,-28.84558,51.8,,0.055,2.98,0.4,0.152,0.031,0.003,,Slight
NP,CGS,17086,Tikal Guatemala Heritage Site,29.17229,14.01661,22.1,,0.122,3.59,0.3,0.093,0.025,0.003,,Slight
CE,SCSN,17087,Somnath Temple Heritage Site,30.34253,87.88775,19.9,,0.102,3.71,0.4,0.191,0.025,0.004,,Slight
AZ,SCSN,17088,Eiffel Tower Paris Heritage Site,16.02173,-54.3598,12.3,,0.137,4.36,0.6,0.229,0.018,0.006,,Slight
CI,IGPP,17089,Acropolis Athens Heritage Site,32.49697,75.96274,47.2,,0.085,3.58,0.5,0.213,0.038,0.002,,Slight
CE,CGS,17090,Tower of London UK Heritage Site,24.72814,-96.43778,21.8,,0.068,3.89,0.4,0.181,0.03,0.006,,Slight
AZ,NSMP,17091,Abu Simbel Egypt Heritage Site,38.80361,1.74541,57.1,,0.066,4.81,0.5,0.219,0.014,0.004,,Slight
NP,IGPP,17092,Golden Temple Amritsar Heritage Site,33.47834,90.74227,34.5,,0.053,3.11,0.2,0.17,0.035,0.002,,Slight
CE,CGS,17093,Shwedagon Pagoda Myanmar Heritage Site,38.32499,-26.56514,13,,0.106,3.81,0.3,0.137,0.021,0.003,,Slight
CI,SCSN,17094,Bagan Myanmar Heritage Site,16.10647,-46.01378,31.8,,0.061,4.07,0.6,0.242,0.038,0.004,,Slight
CI,NSMP,17095,Mont Saint-Michel France Heritage Site,24.07169,71.09653,15.3,,0.123,2.64,0.3,0.135,0.031,0.005,,Slight
NP,SCSN,17096,Petra Jordan Heritage Site,16.79707,-89.59494,43.4,,0.065,4.73,0.5,0.188,0.027,0.004,,Slight
NP,IGPP,17097,Luxor Temple Egypt Heritage Site,34.47624,-34.75017,55,,0.05,4.81,0.3,0.083,0.024,0.004,,Slight
NP,SCSN,17098,Ellora Kailasa Temple Heritage Site,14.69481,3.89064,58.5,,0.112,3.37,0.2,0.237,0.013,0.004,,Slight
CI,SCSN,17099,Mount Fuji Japan Heritage Site,18.71672,-10.11583,5.9,,0.132,2.32,0.6,0.17,0.037,0.002,,Slight
CI,CGS,17100,Prambanan Indonesia Heritage Site,26.77436,-7.61351,12.9,,0.058,3.94,0.5,0.132,0.021,0.006,,Slight
AZ,IGPP,17101,Tower of London UK Heritage Site,18.5046,93.69291,50.3,,0.19,5.66,0.3,0.369,0.033,0.005,,Moderate
AZ,SCSN,17102,Great Wall China Heritage Site,37.64486,74.13247,42.6,,0.175,8.26,0.5,0.37,0.023,0.003,,Moderate
AZ,CGS,17103,Red Fort Delhi Heritage Site,36.3066,28.91395,21.7,,0.151,9.8,0.4,0.332,0.035,0.002,,Moderate
NP,SCSN,17104,Bagan Myanmar Heritage Site,36.98451,-16.79871,16.4,,0.161,6.35,0.5,0.283,0.055,0.007,,Moderate
NP,CGS,17105,Notre Dame Cathedral Paris Heritage Site,10.01417,89.37858,45.9,,0.192,5.27,0.6,0.207,0.052,0.006,,Moderate
AZ,SCSN,17106,Teotihuacan Mexico Heritage Site,29.65242,52.90201,39.5,,0.169,6.85,0.8,0.241,0.067,0.008,,Moderate
CI,CGS,17107,Ajanta Caves Heritage Site,24.64658,11.62517,37.7,,0.189,6.09,0.8,0.179,0.024,0.003,,Moderate
CE,SCSN,17108,Eiffel Tower Paris Heritage Site,24.15527,80.47699,20.3,,0.215,5.74,0.6,0.364,0.023,0.002,,Moderate
CE,IGPP,17109,Hagia Sophia Turkey Heritage Site,31.91744,-25.84012,38.5,,0.217,9.93,0.5,0.297,0.069,0.004,,Moderate
CE,NSMP,17110,Shwedagon Pagoda Myanmar Heritage Site,22.04743,11.21763,24.6,,0.206,6.27,0.5,0.159,0.052,0.004,,Moderate
NP,NSMP,17111,Moai Statues Easter Island Heritage Site,29.97201,-55.35887,32.4,,0.207,6.36,0.6,0.254,0.025,0.007,,Moderate
CE,IGPP,17112,Pyramids of Giza Egypt Heritage Site,17.81797,-91.982,22.8,,0.181,8.98,0.7,0.336,0.051,0.005,,Moderate
CE,CGS,17113,Somnath Temple Heritage Site,35.58415,-42.30521,46.1,,0.24,8.4,0.5,0.297,0.057,0.005,,Moderate
